item,class_id,class_name,th,default_name,obj_type,obj_mane,output_Measurement
Power,190840832,Phase Power,190840840,Reactive Power,RegisterObj,NumericVariable_Register,
Power,190840832,Phase Power,190840844,Apparent Power,RegisterObj,NumericVariable_Register,
Power,190841344,Power HiLoMean,190841345,Active Power High,RegisterObj,NumericVariable_Register,
Power,190841344,Power HiLoMean,190841346,Active Power Low,RegisterObj,NumericVariable_Register,
Power,190841344,Power HiLoMean,190841347,Active Power Mean,RegisterObj,NumericVariable_Register,
Power,190841344,Power HiLoMean,190841348,Reactive Power High,RegisterObj,NumericVariable_Register,
Power,190841344,Power HiLoMean,190841349,Reactive Power Low,RegisterObj,NumericVariable_Register,
Power,190841344,Power HiLoMean,190841350,Reactive Power Mean,RegisterObj,NumericVariable_Register,
Power,190841344,Power HiLoMean,190841351,Apparent Power High,RegisterObj,NumericVariable_Register,
Power,190841344,Power HiLoMean,190841352,Apparent Power Low,RegisterObj,NumericVariable_Register,
Power,190841344,Power HiLoMean,190841353,Apparent Power Mean,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646529,Power Factor A,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646530,Power Factor B,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646531,Power Factor C,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646532,Power Factor,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646533,Power Factor A Lagging,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646534,Power Factor A Leading,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646535,Power Factor B Lagging,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646536,Power Factor B Leading,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646537,Power Factor C Lagging,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646538,Power Factor C Leading,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646539,Power Factor Lagging,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646540,Power Factor Leading,RegisterObj,NumericVariable_Register,
Power Factor,186646528,Phase Power Factor,186646541,Power Factor Total Load Direction,RegisterObj,NumericVariable_Register,
Power Factor,186647040,Power Factor HiLoMean,186647041,Power Factor Lagging High,RegisterObj,NumericVariable_Register,
Power Factor,186647040,Power Factor HiLoMean,186647042,Power Factor Lagging Low,RegisterObj,NumericVariable_Register,
Power Factor,186647040,Power Factor HiLoMean,186647043,Power Factor Lagging Mean,RegisterObj,NumericVariable_Register,
Power Factor,186647040,Power Factor HiLoMean,186647044,Power Factor Leading High,RegisterObj,NumericVariable_Register,
Power Factor,186647040,Power Factor HiLoMean,186647045,Power Factor Leading Low,RegisterObj,NumericVariable_Register,
Power Factor,186647040,Power Factor HiLoMean,186647046,Power Factor Leading Mean,RegisterObj,NumericVariable_Register,
Unbalance,198180864,Current Unbalance,198180865,Current Unbalance A,RegisterObj,NumericVariable_Register,
Unbalance,198180864,Current Unbalance,198180866,Current Unbalance B,RegisterObj,NumericVariable_Register,
Unbalance,198180864,Current Unbalance,198180867,Current Unbalance C,RegisterObj,NumericVariable_Register,
Unbalance,198180864,Current Unbalance,198180868,Current Unbalance Worst,RegisterObj,NumericVariable_Register,
Unbalance,198180864,Current Unbalance,198180869,Current Unbalance,RegisterObj,NumericVariable_Register,
Unbalance,198180864,Current Unbalance,198180870,Current Unbalance Mean,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181121,Voltage Unbalance A-B,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181122,Voltage Unbalance B-C,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181123,Voltage Unbalance C-A,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181124,Voltage Unbalance L-L Worst,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181125,Voltage Unbalance A-N,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181126,Voltage Unbalance B-N,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181127,Voltage Unbalance C-N,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181128,Voltage Unbalance L-N Worst,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181129,Voltage Unbalance,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181130,Voltage Unbalance High,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181131,Voltage Unbalance Low,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181132,Voltage Unbalance Mean,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181133,Voltage Unbalance L-L Phase,RegisterObj,NumericVariable_Register,
Unbalance,198181120,Voltage Unbalance,198181134,Voltage Unbalance L-N Phase,RegisterObj,NumericVariable_Register,
Voltage,201326592,Voltage L-L,201326593,Voltage A-B,RegisterObj,NumericVariable_Register,
Voltage,201326592,Voltage L-L,201326594,Voltage B-C,RegisterObj,NumericVariable_Register,
Voltage,201326592,Voltage L-L,201326595,Voltage C-A,RegisterObj,NumericVariable_Register,
Voltage,201326592,Voltage L-L,201326596,Voltage L-L Avg,RegisterObj,NumericVariable_Register,
Voltage,201327104,Voltage L-N,201327105,Voltage A-N,RegisterObj,NumericVariable_Register,
Voltage,201327104,Voltage L-N,201327106,Voltage B-N,RegisterObj,NumericVariable_Register,
Voltage,201327104,Voltage L-N,201327107,Voltage C-N,RegisterObj,NumericVariable_Register,
Voltage,201327104,Voltage L-N,201327108,Voltage L-N Avg,RegisterObj,NumericVariable_Register,
